Type	Name	Basic	Syntax	Description
Math	COUNTUNIQUE	1	"COUNTUNIQUE(value1, [value2, ...])"	Counts the number of unique values in a list of specified values and ranges. Learn more
Math	CSC		CSC(angle)	Returns the cosecant of an angle provided in radians. Learn more.
Math	CSCH		CSCH(value)	The CSCH function returns the hyperbolic cosecant of any real number. Learn more.
Math	DECIMAL		"DECIMAL(value, base)"	"The DECIMAL function converts the text representation of a number in another base, to base 10 (decimal). Learn more."
Math	DEGREES		DEGREES(angle)	Converts an angle value in radians to degrees. Learn more
Math	ERFC		ERFC(z)	Returns the complementary Gauss error function of a value. Learn more
Math	ERFC.PRECISE		ERFC.PRECISE(z)	See ERFC 
Math	EVEN	1	EVEN(value)	Rounds a number up to the nearest even integer. Learn more
Math	EXP		EXP(exponent)	"Returns Euler's number, e (~2.718) raised to a power. Learn more"
Math	FACT	1	FACT(value)	Returns the factorial of a number. Learn more
Math	FACTDOUBLE		FACTDOUBLE(value)	"Returns the ""double factorial"" of a number. Learn more"
Math	FLOOR	1	"FLOOR(value, [factor])"	Rounds a number down to the nearest integer multiple of specified significance. Learn more
Math	FLOOR.MATH		"FLOOR.MATH(number, [significance], [mode])"	"Rounds a number down to the nearest integer multiple of specified significance, with negative numbers rounding toward or away from 0 depending on the mode. Learn more."
Math	FLOOR.PRECISE		"FLOOR.PRECISE(number, [significance])"	The FLOOR.PRECISE function rounds a number down to the nearest integer or multiple of specified significance. Learn more.
Math	GAMMALN		GAMMALN(value)	"Returns the the logarithm of a specified Gamma function, base e (Euler's number). Learn more"
Math	GAMMALN.PRECISE		GAMMALN.PRECISE(value)	See GAMMALN 
Math	GCD		"GCD(value1, value2)"	Returns the greatest common divisor of one or more integers. Learn more
Math	IMLN		IMLN(complex_value)	"Returns the logarithm of a complex number, base e (Euler's number). Learn more"
Math	IMPOWER		"IMPOWER(complex_base, exponent)"	Returns a complex number raised to a power. Learn more
Math	IMSQRT		IMSQRT(complex_number)	Computes the square root of a complex number. Learn more
Math	INT	1	INT(value)	Rounds a number down to the nearest integer that is less than or equal to it. Learn more
Math	ISEVEN	1	ISEVEN(value)	Checks whether the provided value is even. Learn more
Math	ISO.CEILING		"ISO.CEILING(number, [significance])"	See CEILING.PRECISE 
Math	ISODD	1	ISODD(value)	Checks whether the provided value is odd. Learn more
Math	LCM		"LCM(value1, value2)"	Returns the least common multiple of one or more integers. Learn more
Math	LN		LN(value)	"Returns the the logarithm of a number, base e (Euler's number). Learn more"
Math	LOG		"LOG(value, base)"	Returns the the logarithm of a number given a base. Learn more
Math	LOG10		LOG10(value)	"Returns the the logarithm of a number, base 10. Learn more"
Math	MOD	1	"MOD(dividend, divisor)"	"Returns the result of the modulo operator, the remainder after a division operation. Learn more"
Math	MROUND		"MROUND(value, factor)"	Rounds one number to the nearest integer multiple of another. Learn more
Math	MULTINOMIAL		"MULTINOMIAL(value1, value2)"	Returns the factorial of the sum of values divided by the product of the values' factorials. Learn more
Math	MUNIT		MUNIT(dimension)	Returns a unit matrix of size dimension x dimension. Learn more.
Math	ODD	1	ODD(value)	Rounds a number up to the nearest odd integer. Learn more
Math	PI	1	PI()	Returns the value of Pi to 14 decimal places. Learn more
Math	POWER	1	"POWER(base, exponent)"	Returns a number raised to a power. Learn more
Math	PRODUCT	1	"PRODUCT(factor1, [factor2, ...])"	Returns the result of multiplying a series of numbers together. Learn more
Math	QUOTIENT	1	"QUOTIENT(dividend, divisor)"	Returns one number divided by another. Learn more
Math	RADIANS		RADIANS(angle)	Converts an angle value in degrees to radians. Learn more
Math	RAND	1	RAND()	Returns a random number between 0 inclusive and 1 exclusive. Learn more
Math	RANDARRAY	1	"RANDARRAY(rows, columns)"	Generates an array of random numbers between 0 and 1. Learn more.
Math	RANDBETWEEN	1	"RANDBETWEEN(low, high)"	"Returns a uniformly random integer between two values, inclusive. Learn more"
Math	ROUND	1	"ROUND(value, [places])"	Rounds a number to a certain number of decimal places according to standard rules. Learn more
Math	ROUNDDOWN	1	"ROUNDDOWN(value, [places])"	"Rounds a number to a certain number of decimal places, always rounding down to the next valid increment. Learn more"
Math	ROUNDUP	1	"ROUNDUP(value, [places])"	"Rounds a number to a certain number of decimal places, always rounding up to the next valid increment. Learn more"
Math	SEC		SEC(angle)	"The SEC function returns the secant of an angle, measured in radians. Learn more."
Math	SECH		SECH(value)	The SECH function returns the hyperbolic secant of an angle. Learn more
Math	SEQUENCE		"SEQUENCE(rows, columns, start, step)"	"Returns an array of sequential numbers, such as 1, 2, 3, 4. Learn more."
Math	SERIESSUM		"SERIESSUM(x, n, m, a)"	"Given parameters x, n, m, and a, returns the power series sum a1xn + a2x(n+m) + ... + aix(n+(i-1)m), where i is the number of entries in range `a`. Learn more"
Math	SIGN	1	SIGN(value)	"Given an input number, returns `-1` if it is negative, `1` if positive, and `0` if it is zero. Learn more"
Math	SIN		SIN(angle)	Returns the sine of an angle provided in radians. Learn more
Math	SINH		SINH(value)	Returns the hyperbolic sine of any real number. Learn more
Math	SQRT	1	SQRT(value)	Returns the positive square root of a positive number. Learn more
Math	SQRTPI		SQRTPI(value)	Returns the positive square root of the product of Pi and the given positive number. Learn more
Math	SUBTOTAL		"SUBTOTAL(function_code, range1, [range2, ...])"	Returns a subtotal for a vertical range of cells using a specified aggregation function. Learn more
Math	SUM	1	"SUM(value1, [value2, ...])"	Returns the sum of a series of numbers and/or cells. Learn more
Math	SUMIF	1	"SUMIF(range, criterion, [sum_range])"	Returns a conditional sum across a range. Learn more
Math	SUMIFS	1	"SUMIFS(sum_range, criteria_range1, criterion1, [criteria_range2, criterion2, ...])"	Returns the sum of a range depending on multiple criteria. Learn more
Math	SUMSQ		"SUMSQ(value1, [value2, ...])"	Returns the sum of the squares of a series of numbers and/or cells. Learn more
Math	TAN		TAN(angle)	Returns the tangent of an angle provided in radians. Learn more
Math	TANH		TANH(value)	Returns the hyperbolic tangent of any real number. Learn more
Math	TRUNC		"TRUNC(value, [places])"	Truncates a number to a certain number of significant digits by omitting less significant digits. Learn more
Operator	ADD	1	"ADD(value1, value2)"	Returns the sum of two numbers. Equivalent to the `+` operator. Learn more
Operator	CONCAT	1	"CONCAT(value1, value2)"	Returns the concatenation of two values. Equivalent to the `&` operator. Learn more
Operator	DIVIDE	1	"DIVIDE(dividend, divisor)"	Returns one number divided by another. Equivalent to the `/` operator. Learn more
Operator	EQ	1	"EQ(value1, value2)"	Returns `TRUE` if two specified values are equal and `FALSE` otherwise. Equivalent to the `=` operator. Learn more
Operator	GT	1	"GT(value1, value2)"	"Returns `TRUE` if the first argument is strictly greater than the second, and `FALSE` otherwise. Equivalent to the `>` operator. Learn more"
Operator	GTE	1	"GTE(value1, value2)"	"Returns `TRUE` if the first argument is greater than or equal to the second, and `FALSE` otherwise. Equivalent to the `>=` operator. Learn more"
Operator	LT	1	"LT(value1, value2)"	"Returns `TRUE` if the first argument is strictly less than the second, and `FALSE` otherwise. Equivalent to the `<` operator. Learn more"
Operator	LTE	1	"LTE(value1, value2)"	"Returns `TRUE` if the first argument is less than or equal to the second, and `FALSE` otherwise. Equivalent to the `<=` operator. Learn more"
Operator	MINUS	1	"MINUS(value1, value2)"	Returns the difference of two numbers. Equivalent to the `-` operator. Learn more
Operator	MULTIPLY	1	"MULTIPLY(factor1, factor2)"	Returns the product of two numbers. Equivalent to the `*` operator. Learn more
Operator	NE	1	"NE(value1, value2)"	Returns `TRUE` if two specified values are not equal and `FALSE` otherwise. Equivalent to the `<>` operator. Learn more
Operator	POW	1	"POW(base, exponent)"	Returns a number raised to a power. Learn more
Operator	UMINUS	1	UMINUS(value)	Returns a number with the sign reversed. Learn more
Operator	UNARY_PERCENT	1	UNARY_PERCENT(percentage)	"Returns a value interpreted as a percentage; that is, `UNARY_PERCENT(100)` equals `1`. Learn more"
Operator	UPLUS		UPLUS(value)	"Returns a specified number, unchanged. Learn more"
Parser	CONVERT		"CONVERT(value, start_unit, end_unit)"	Converts a numeric value to a different unit of measure. Learn more
Parser	TO_DATE		TO_DATE(value)	Converts a provided number to a date. Learn more
Parser	TO_DOLLARS		TO_DOLLARS(value)	Converts a provided number to a dollar value. Learn more
Parser	TO_PERCENT		TO_PERCENT(value)	Converts a provided number to a percentage. Learn more
Parser	TO_PURE_NUMBER		TO_PURE_NUMBER(value)	"Converts a provided date/time, percentage, currency or other formatted numeric value to a pure number without formatting. Learn more"
Parser	TO_TEXT		TO_TEXT(value)	Converts a provided numeric value to a text value. Learn more
Statistical	AVEDEV		"AVEDEV(value1, [value2, ...])"	Calculates the average of the magnitudes of deviations of data from a dataset's mean. Learn more
Statistical	AVERAGE	1	"AVERAGE(value1, [value2, ...])"	"Returns the numerical average value in a dataset, ignoring text. Learn more"
Statistical	AVERAGE.WEIGHTED	1	"AVERAGE.WEIGHTED(values, weights, [additional values], [additional weights])"	"Finds the weighted average of a set of values, given the values and the corresponding weights. Learn more."
Statistical	AVERAGEA		"AVERAGEA(value1, [value2, ...])"	Returns the numerical average value in a dataset. Learn more
Statistical	AVERAGEIF		"AVERAGEIF(criteria_range, criterion, [average_range])"	Returns the average of a range depending on criteria. Learn more
Statistical	AVERAGEIFS		"AVERAGEIFS(average_range, criteria_range1, criterion1, [criteria_range2, criterion2, ...])"	Returns the average of a range depending on multiple criteria. Learn more
Statistical	BETA.DIST		"BETA.DIST(value, alpha, beta, cumulative, lower_bound, upper_bound)"	Returns the probability of a given value as defined by the beta distribution function. Learn more.
Statistical	BETA.INV		"BETA.INV(probability, alpha, beta, lower_bound, upper_bound)"	Returns the value of the inverse beta distribution function for a given probability. Learn more. 
Statistical	BETADIST		"BETADIST(value, alpha, beta, lower_bound, upper_bound)"	See BETA.DIST.
Statistical	BETAINV		"BETAINV(probability, alpha, beta, lower_bound, upper_bound)"	 See BETA.INV 
Statistical	BINOM.DIST		"BINOM.DIST(num_successes, num_trials, prob_success, cumulative)"	See BINOMDIST 
Statistical	BINOM.INV		"BINOM.INV(num_trials, prob_success, target_prob)"	See CRITBINOM
Statistical	BINOMDIST		"BINOMDIST(num_successes, num_trials, prob_success, cumulative)"	"Calculates the probability of drawing a certain number of successes (or a maximum number of successes) in a certain number of tries given a population of a certain size containing a certain number of successes, with replacement of draws. Learn more"
Statistical	CHIDIST		"CHIDIST(x, degrees_freedom)"	"Calculates the right-tailed chi-squared distribution, often used in hypothesis testing. Learn more"
Statistical	CHIINV		"CHIINV(probability, degrees_freedom)"	Calculates the inverse of the right-tailed chi-squared distribution. Learn more
Statistical	CHISQ.DIST		"CHISQ.DIST(x, degrees_freedom, cumulative)"	"Calculates the left-tailed chi-squared distribution, often used in hypothesis testing. Learn more"
Statistical	CHISQ.DIST.RT		"CHISQ.DIST.RT(x, degrees_freedom)"	"Calculates the right-tailed chi-squared distribution, which is commonly used in hypothesis testing. Learn more"
Statistical	CHISQ.INV		"CHISQ.INV(probability, degrees_freedom)"	Calculates the inverse of the left-tailed chi-squared distribution. Learn more
Statistical	CHISQ.INV.RT		"CHISQ.INV.RT(probability, degrees_freedom)"	Calculates the inverse of the right-tailed chi-squared distribution. Learn more
Statistical	CHISQ.TEST		"CHISQ.TEST(observed_range, expected_range)"	See CHITEST
Statistical	CHITEST		"CHITEST(observed_range, expected_range)"	Returns the probability associated with a Pearson’s chi-squared test on the two ranges of data. Determines the likelihood that the observed categorical data is drawn from an expected distribution. Learn more
Statistical	CONFIDENCE		"CONFIDENCE(alpha, standard_deviation, pop_size)"	See CONFIDENCE.NORM
Statistical	CONFIDENCE.NORM		"CONFIDENCE.NORM(alpha, standard_deviation, pop_size)"	Calculates the width of half the confidence interval for a normal distribution. Learn more.
Statistical	CONFIDENCE.T		"CONFIDENCE.T(alpha, standard_deviation, size)"	Calculates the width of half the confidence interval for a Student’s t-distribution. Learn more.
Statistical	CORREL		"CORREL(data_y, data_x)"	"Calculates r, the Pearson product-moment correlation coefficient of a dataset. Learn more"
Statistical	COUNT	1	"COUNT(value1, [value2, ...])"	Returns a count of the number of numeric values in a dataset. Learn more
Statistical	COUNTA	1	"COUNTA(value1, [value2, ...])"	Returns a count of the number of values in a dataset. Learn more
Statistical	COVAR		"COVAR(data_y, data_x)"	Calculates the covariance of a dataset. Learn more
Statistical	COVARIANCE.P		"COVARIANCE.P(data_y, data_x)"	See COVAR
Statistical	COVARIANCE.S		"COVARIANCE.S(data_y, data_x)"	"Calculates the covariance of a dataset, where the dataset is a sample of the total population. Learn more."
Statistical	CRITBINOM		"CRITBINOM(num_trials, prob_success, target_prob)"	Calculates the smallest value for which the cumulative binomial distribution is greater than or equal to a specified criteria. Learn more
Statistical	DEVSQ		"DEVSQ(value1, value2)"	Calculates the sum of squares of deviations based on a sample. Learn more
Statistical	EXPON.DIST		"EXPON.DIST(x, lambda, cumulative)"	Returns the value of the exponential distribution function with a specified lambda at a specified value. Learn more. 
Statistical	EXPONDIST		"EXPONDIST(x, lambda, cumulative)"	See EXPON.DIST
Statistical	F.DIST		"F.DIST(x, degrees_freedom1, degrees_freedom2, cumulative)"	Calculates the left-tailed F probability distribution (degree of diversity) for two data sets with given input x. Alternately called Fisher-Snedecor distribution or Snedecor's F distribution. Learn more
Statistical	F.DIST.RT		"F.DIST.RT(x, degrees_freedom1, degrees_freedom2)"	Calculates the right-tailed F probability distribution (degree of diversity) for two data sets with given input x. Alternately called Fisher-Snedecor distribution or Snedecor's F distribution. Learn more
Statistical	F.INV		"F.INV(probability, degrees_freedom1, degrees_freedom2)"	Calculates the inverse of the left-tailed F probability distribution. Also called the Fisher-Snedecor distribution or Snedecor’s F distribution. Learn more
Statistical	F.INV.RT		"F.INV.RT(probability, degrees_freedom1, degrees_freedom2)"	Calculates the inverse of the right-tailed F probability distribution. Also called the Fisher-Snedecor distribution or Snedecor’s F distribution. Learn more
Statistical	F.TEST		"F.TEST(range1, range2)"	See FTEST.
Statistical	FDIST		"FDIST(x, degrees_freedom1, degrees_freedom2)"	See F.DIST.RT.
Statistical	FINV		"FINV(probability, degrees_freedom1, degrees_freedom2)"	See F.INV.RT
Statistical	FISHER		FISHER(value)	Returns the Fisher transformation of a specified value. Learn more
Statistical	FISHERINV		FISHERINV(value)	Returns the inverse Fisher transformation of a specified value. Learn more
Statistical	FORECAST		"FORECAST(x, data_y, data_x)"	Calculates the expected y-value for a specified x based on a linear regression of a dataset. Learn more
Statistical	FORECAST.LINEAR		"FORECAST.LINEAR(x, data_y, data_x)"	See FORECAST 
Statistical	FTEST		"FTEST(range1, range2)"	Returns the probability associated with an F-test for equality of variances. Determines whether two samples are likely to have come from populations with the same variance. Learn more
Statistical	GAMMA		GAMMA(number)	Returns the Gamma function evaluated at the specified value. Learn more.
Statistical	GAMMA.DIST		"GAMMA.DIST(x, alpha, beta, cumulative)"	"Calculates the gamma distribution, a two-parameter continuous probability distribution. Learn more"
Statistical	GAMMA.INV		"GAMMA.INV(probability, alpha, beta)"	The GAMMA.INV function returns the value of the inverse gamma cumulative distribution function for the specified probability and alpha and beta parameters. Learn more.
Statistical	GAMMADIST		"GAMMADIST(x, alpha, beta, cumulative)"	See GAMMA.DIST 
Statistical	GAMMAINV		"GAMMAINV(probability, alpha, beta)"	See GAMMA.INV.
Statistical	GAUSS		GAUSS(z)	"The GAUSS function returns the probability that a random variable, drawn from a normal distribution, will be between the mean and z standard deviations above (or below) the mean. Learn more."
Statistical	GEOMEAN		"GEOMEAN(value1, value2)"	Calculates the geometric mean of a dataset. Learn more
Statistical	HARMEAN		"HARMEAN(value1, value2)"	Calculates the harmonic mean of a dataset. Learn more
Statistical	HYPGEOM.DIST		"HYPGEOM.DIST(num_successes, num_draws, successes_in_pop, pop_size)"	See HYPGEOMDIST 
Statistical	HYPGEOMDIST		"HYPGEOMDIST(num_successes, num_draws, successes_in_pop, pop_size)"	" Calculates the probability of drawing a certain number of successes in a certain number of tries given a population of a certain size containing a certain number of successes, without replacement of draws. Learn more"
Statistical	INTERCEPT		"INTERCEPT(data_y, data_x)"	Calculates the y-value at which the line resulting from linear regression of a dataset will intersect the y-axis (x=0). Learn more
Statistical	KURT		"KURT(value1, value2)"	"Calculates the kurtosis of a dataset, which describes the shape, and in particular the ""peakedness"" of that dataset. Learn more"
Statistical	LARGE		"LARGE(data, n)"	"Returns the nth largest element from a data set, where n is user-defined. Learn more"
Statistical	LOGINV		"LOGINV(x, mean, standard_deviation)"	Returns the value of the inverse log-normal cumulative distribution with given mean and standard deviation at a specified value. Learn more
Statistical	LOGNORM.DIST		"LOGNORM.DIST(x, mean, standard_deviation)"	See LOGNORMDIST
Statistical	LOGNORM.INV		"LOGNORM.INV(x, mean, standard_deviation)"	See LOGINV
Statistical	LOGNORMDIST		"LOGNORMDIST(x, mean, standard_deviation)"	Returns the value of the log-normal cumulative distribution with given mean and standard deviation at a specified value. Learn more
Statistical	MAX	1	"MAX(value1, [value2, ...])"	Returns the maximum value in a numeric dataset. Learn more
Statistical	MAXA	1	"MAXA(value1, value2)"	Returns the maximum numeric value in a dataset. Learn more
Statistical	MAXIFS	1	"MAXIFS(range, criteria_range1, criterion1, [criteria_range2, criterion2], …)"	"Returns the maximum value in a range of cells, filtered by a set of criteria. Learn more."
Statistical	MEDIAN	1	"MEDIAN(value1, [value2, ...])"	Returns the median value in a numeric dataset. Learn more
Statistical	MIN	1	"MIN(value1, [value2, ...])"	Returns the minimum value in a numeric dataset. Learn more
Statistical	MINA	1	"MINA(value1, value2)"	Returns the minimum numeric value in a dataset. Learn more
Statistical	MINIFS	1	"MINIFS(range, criteria_range1, criterion1, [criteria_range2, criterion2], …)"	"Returns the minimum value in a range of cells, filtered by a set of criteria. Learn more."
Statistical	MODE	1	"MODE(value1, [value2, ...])"	Returns the most commonly occurring value in a dataset. Learn more
Statistical	MODE.MULT		"MODE.MULT(value1, value2)"	Returns the most commonly occurring values in a dataset. Learn more.
Statistical	MODE.SNGL		"MODE.SNGL(value1, [value2, ...])"	See MODE 
Statistical	NEGBINOM.DIST		"NEGBINOM.DIST(num_failures, num_successes, prob_success)"	See NEGBINOMDIST 
Statistical	NEGBINOMDIST		"NEGBINOMDIST(num_failures, num_successes, prob_success)"	Calculates the probability of drawing a certain number of failures before a certain number of successes given a probability of success in independent trials. Learn more
Statistical	NORM.DIST		"NORM.DIST(x, mean, standard_deviation, cumulative)"	See NORMDIST 
Statistical	NORM.INV		"NORM.INV(x, mean, standard_deviation)"	See NORMINV 
Statistical	NORM.S.DIST		NORM.S.DIST(x)	See NORMSDIST
Statistical	NORM.S.INV		NORM.S.INV(x)	See NORMSINV
Statistical	NORMDIST		"NORMDIST(x, mean, standard_deviation, cumulative)"	"Returns the value of the normal distribution function (or normal cumulative distribution function) for a specified value, mean, and standard deviation. Learn more"
Statistical	NORMINV		"NORMINV(x, mean, standard_deviation)"	"Returns the value of the inverse normal distribution function for a specified value, mean, and standard deviation. Learn more"
Statistical	NORMSDIST		NORMSDIST(x)	Returns the value of the standard normal cumulative distribution function for a specified value. Learn more
Statistical	NORMSINV		NORMSINV(x)	Returns the value of the inverse standard normal distribution function for a specified value. Learn more
Statistical	PEARSON		"PEARSON(data_y, data_x)"	"Calculates r, the Pearson product-moment correlation coefficient of a dataset. Learn more"
Statistical	PERCENTILE	1	"PERCENTILE(data, percentile)"	Returns the value at a given percentile of a dataset. Learn more
Statistical	PERCENTILE.EXC		"PERCENTILE.EXC(data, percentile)"	"Returns the value at a given percentile of a dataset, exclusive of 0 and 1. Learn more."
Statistical	PERCENTILE.INC		"PERCENTILE.INC(data, percentile)"	See PERCENTILE
Statistical	PERCENTRANK		"PERCENTRANK(data, value, [significant_digits])"	Returns the percentage rank (percentile) of a specified value in a dataset. Learn more
Statistical	PERCENTRANK.EXC		"PERCENTRANK.EXC(data, value, [significant_digits])"	Returns the percentage rank (percentile) from 0 to 1 exclusive of a specified value in a dataset. Learn more
Statistical	PERCENTRANK.INC		"PERCENTRANK.INC(data, value, [significant_digits])"	Returns the percentage rank (percentile) from 0 to 1 inclusive of a specified value in a dataset. Learn more
Statistical	PERMUTATIONA		"PERMUTATIONA(number, number_chosen)"	Returns the number of permutations for selecting a group of objects (with replacement) from a total number of objects. Learn more.
Statistical	PERMUT		"PERMUT(n, k)"	"Returns the number of ways to choose some number of objects from a pool of a given size of objects, considering order. Learn more"
Statistical	PHI		PHI(x)	The PHI function returns the value of the normal distribution with mean 0 and standard deviation 1. Learn more.
Statistical	POISSON		"POISSON(x, mean, cumulative)"	See POISSON.DIST
Statistical	POISSON.DIST		"POISSON.DIST(x, mean, [cumulative])"	Returns the value of the Poisson distribution function (or Poisson cumulative distribution function) for a specified value and mean. Learn more. 
Statistical	PROB		"PROB(data, probabilities, low_limit, [high_limit])"	"Given a set of values and corresponding probabilities, calculates the probability that a value chosen at random falls between two limits. Learn more"
Statistical	QUARTILE	1	"QUARTILE(data, quartile_number)"	Returns a value nearest to a specified quartile of a dataset. Learn more
Statistical	QUARTILE.EXC		"QUARTILE.EXC(data, quartile_number)"	"Returns value nearest to a given quartile of a dataset, exclusive of 0 and 4. Learn more."
Statistical	QUARTILE.INC		"QUARTILE.INC(data, quartile_number)"	See QUARTILE
Statistical	RANK	1	"RANK(value, data, [is_ascending])"	Returns the rank of a specified value in a dataset. Learn more
Statistical	RANK.AVG	1	"RANK.AVG(value, data, [is_ascending])"	"Returns the rank of a specified value in a dataset. If there is more than one entry of the same value in the dataset, the average rank of the entries will be returned. Learn more"
Statistical	RANK.EQ		"RANK.EQ(value, data, [is_ascending])"	"Returns the rank of a specified value in a dataset. If there is more than one entry of the same value in the dataset, the top rank of the entries will be returned. Learn more"
Statistical	RSQ		"RSQ(data_y, data_x)"	"Calculates the square of r, the Pearson product-moment correlation coefficient of a dataset. Learn more"
Statistical	SKEW		"SKEW(value1, value2)"	"Calculates the skewness of a dataset, which describes the symmetry of that dataset about the mean. Learn more"
Statistical	SKEW.P		"SKEW.P(value1, value2)"	Calculates the skewness of a dataset that represents the entire population. Learn more.
Statistical	SLOPE		"SLOPE(data_y, data_x)"	Calculates the slope of the line resulting from linear regression of a dataset. Learn more
Statistical	SMALL		"SMALL(data, n)"	"Returns the nth smallest element from a data set, where n is user-defined. Learn more"
Statistical	STANDARDIZE		"STANDARDIZE(value, mean, standard_deviation)"	Calculates the normalized equivalent of a random variable given mean and standard deviation of the distribution. Learn more
Statistical	STDEV	1	"STDEV(value1, [value2, ...])"	Calculates the standard deviation based on a sample. Learn more
Statistical	STDEV.P		"STDEV.P(value1, [value2, ...])"	See STDEVP
Statistical	STDEV.S		"STDEV.S(value1, [value2, ...])"	See STDEV
Statistical	STDEVA		"STDEVA(value1, value2)"	"Calculates the standard deviation based on a sample, setting text to the value `0`. Learn more"
Statistical	STDEVP		"STDEVP(value1, value2)"	Calculates the standard deviation based on an entire population. Learn more
Statistical	STDEVPA		"STDEVPA(value1, value2)"	"Calculates the standard deviation based on an entire population, setting text to the value `0`. Learn more"
Statistical	STEYX		"STEYX(data_y, data_x)"	Calculates the standard error of the predicted y-value for each x in the regression of a dataset. Learn more
Statistical	T.DIST		"T.DIST(x, degrees_freedom, cumulative)"	Returns the right tailed Student distribution for a value x. Learn more.
Statistical	T.DIST.2T		"T.DIST.2T(x, degrees_freedom)"	Returns the two tailed Student distribution for a value x. Learn more.
Statistical	T.DIST.RT		"T.DIST.RT(x, degrees_freedom)"	Returns the right tailed Student distribution for a value x. Learn more.
Statistical	T.INV		"T.INV(probability, degrees_freedom)"	Calculates the negative inverse of the one-tailed TDIST function. Learn more
Statistical	T.INV.2T		"T.INV.2T(probability, degrees_freedom)"	Calculates the inverse of the two-tailed TDIST function. Learn more
Statistical	T.TEST		"T.TEST(range1, range2, tails, type)"	Returns the probability associated with Student's t-test. Determines whether two samples are likely to have come from the same two underlying populations that have the same mean. Learn more. 
Statistical	TDIST		"TDIST(x, degrees_freedom, tails)"	Calculates the probability for Student's t-distribution with a given input (x). Learn more
Statistical	TINV		"TINV(probability, degrees_freedom)"	See T.INV.2T
Statistical	TRIMMEAN		"TRIMMEAN(data, exclude_proportion)"	Calculates the mean of a dataset excluding some proportion of data from the high and low ends of the dataset. Learn more
Statistical	TTEST		"TTEST(range1, range2, tails, type)"	See T.TEST.
Statistical	VAR	1	"VAR(value1, [value2, ...])"	Calculates the variance based on a sample. Learn more
Statistical	VAR.P		"VAR.P(value1, [value2, ...])"	See VARP
Statistical	VAR.S		"VAR.S(value1, [value2, ...])"	See VAR
Statistical	VARA		"VARA(value1, value2)"	"Calculates an estimate of variance based on a sample, setting text to the value `0`. Learn more"
Statistical	VARP		"VARP(value1, value2)"	Calculates the variance based on an entire population. Learn more
Statistical	VARPA		"VARPA(value1, value2,...)"	"Calculates the variance based on an entire population, setting text to the value `0`. Learn more"
Statistical	WEIBULL		"WEIBULL(x, shape, scale, cumulative)"	Returns the value of the Weibull distribution function (or Weibull cumulative distribution function) for a specified shape and scale. Learn more
Statistical	WEIBULL.DIST		"WEIBULL.DIST(x, shape, scale, cumulative)"	See WEIBULL
Statistical	Z.TEST		"Z.TEST(data, value, [standard_deviation])"	Returns the one-tailed P-value of a Z-test with standard distribution. Learn more. 
Statistical	ZTEST		"ZTEST(data, value, [standard_deviation])"	See Z.TEST.
Text	ARABIC	1	ARABIC(roman_numeral)	Computes the value of a Roman numeral. Learn more
Text	ASC		ASC(text)	Converts full-width ASCII and katakana characters to their half-width counterparts. All standard-width characters will remain unchanged. Learn more. 
Text	CHAR		CHAR(table_number)	Convert a number into a character according to the current Unicode table. Learn more
Text	CLEAN	1	CLEAN(text)	Returns the text with the non-printable ASCII characters removed. Learn more
Text	CODE		CODE(string)	Returns the numeric Unicode map value of the first character in the string provided. Learn more
Text	CONCATENATE	1	"CONCATENATE(string1, [string2, ...])"	Appends strings to one another. Learn more
Text	DOLLAR	1	"DOLLAR(number, [number_of_places])"	Formats a number into the locale-specific currency format. Learn more
Text	EXACT	1	"EXACT(string1, string2)"	Tests whether two strings are identical. Learn more
Text	FIND	1	"FIND(search_for, text_to_search, [starting_at])"	Returns the position at which a string is first found within text. Learn more
Text	FINDB		"FINDB(search_for, text_to_search, [starting_at])"	Returns the position at which a string is first found within text counting each double-character as 2. Learn more
Text	FIXED	1	"FIXED(number, [number_of_places], [suppress_separator])"	Formats a number with a fixed number of decimal places. Learn more
Text	JOIN	1	"JOIN(delimiter, value_or_array1, [value_or_array2, ...])"	Concatenates the elements of one or more one-dimensional arrays using a specified delimiter. Learn more
Text	LEFT	1	"LEFT(string, [number_of_characters])"	Returns a substring from the beginning of a specified string. Learn more
Text	LEFTB		"LEFTB(string, num_of_bytes)"	Returns the left portion of a string up to a certain number of bytes. Learn more.
Text	LEN	1	LEN(text)	Returns the length of a string. Learn more
Text	LENB		LENB(string)	"Returns the length of a string in bytes."" Learn more."
Text	LOWER	1	LOWER(text)	Converts a specified string to lowercase. Learn more
Text	MID	1	"MID(string, starting_at, extract_length)"	Returns a segment of a string. Learn more
Text	MIDB		MIDB(string)	Returns a section of a string starting at a given character and up to a specified number of bytes. Learn more.
Text	PROPER	1	PROPER(text_to_capitalize)	Capitalizes each word in a specified string. Learn more
Text	REGEXEXTRACT	1	"REGEXEXTRACT(text, regular_expression)"	Extracts matching substrings according to a regular expression. Learn more
Text	REGEXMATCH	1	"REGEXMATCH(text, regular_expression)"	Whether a piece of text matches a regular expression. Learn more
Text	REGEXREPLACE	1	"REGEXREPLACE(text, regular_expression, replacement)"	Replaces part of a text string with a different text string using regular expressions. Learn more
Text	REPLACE	1	"REPLACE(text, position, length, new_text)"	Replaces part of a text string with a different text string. Learn more
Text	REPLACEB		"REPLACEB(text, position, num_bytes, new_text)"	"Replaces part of a text string, based on a number of bytes, with a different text string. Learn more."
Text	REPT	1	"REPT(text_to_repeat, number_of_repetitions)"	Returns specified text repeated a number of times. Learn more
